,mzmed,rtmed,isotopes
peakpos0,874.78476659666,15.6483325,[2836][M]+
peakpos1,829.797673860278,15.593373999999999,[2470][M]+
peakpos2,876.800748555814,15.855070833333302,[2853][M]+
peakpos3,758.5689771842759,6.81671385,[1859][M]+
peakpos4,875.788679834209,15.6544445,[2836][M+1]+
peakpos5,830.800354179134,15.593372,[2470][M+1]+
peakpos6,877.802742190387,15.857524666666698,[2853][M+1]+
peakpos7,872.769804017007,15.434005666666698,[2822][M]+
peakpos8,900.8005361774719,15.680615,[3028][M]+
peakpos9,848.7684874101891,15.628276500000002,[2625][M]+
peakpos10,759.5709633128239,6.8167125,[1859][M+1]+
peakpos11,786.599847882357,7.800919599999999,[2087][M]+
peakpos12,782.567377939667,6.773083099999999,[2052][M]+
peakpos13,753.612026040941,7.043544,[1814][M]+
peakpos14,850.785679324502,15.83765,
peakpos15,902.816954882222,15.872554999999998,[3042][M]+
peakpos16,902.785162418883,15.8237445,
peakpos17,866.8169410193401,16.125566,[2781][M]+
peakpos18,873.773275442418,15.429058833333302,[2822][M+1]+
peakpos19,846.754079716322,15.40144,[2611][M]+
peakpos20,369.35068778326,15.3839835,[276][M]+
peakpos21,901.8045726501,15.680617000000002,[3028][M+1]+
peakpos22,849.7721000012331,15.628279999999998,[2625][M+1]+
peakpos23,876.7916761872839,15.654442999999999,[2836][M+2]+
peakpos24,857.8287876565911,15.584658,[2709][M]+
peakpos25,700.6257069408181,14.904151,[1422][M]+
peakpos26,760.584516277851,7.55372486666667,[1873][M]+
peakpos27,903.8188700152949,15.872554999999998,[3042][M+1]+
peakpos28,867.820207071853,16.125553,[2781][M+1]+
peakpos29,898.784474243098,15.470287666666698,[3016][M]+
peakpos30,851.787665366055,15.837593666666699,
peakpos31,787.6035753465679,7.80039003333333,[2087][M+1]+
peakpos32,783.5703634300079,6.77308645,[2052][M+1]+
peakpos33,810.5991250712219,7.7414928,[2285][M]+
peakpos34,831.8034350654559,15.593372,[2470][M+2]+
peakpos35,738.645548622535,6.50263315,[1681][M]+
peakpos36,728.6582541765559,14.9041535,[1626][M]+
peakpos37,666.616553131118,15.392707500000002,[1230][M]+
peakpos38,847.7571982865759,15.401439499999999,[2611][M+1]+
peakpos39,902.8151356625419,15.636997000000001,[3043][M]+
peakpos40,708.5103185293269,10.4461138333333,[1466][M]+
peakpos41,754.616196717191,7.04354325,[1814][M+1]+
peakpos42,904.830049525889,15.846379999999998,
peakpos43,858.830688664317,15.5846585,[2709][M+1]+
peakpos44,878.798659647811,15.852125666666698,[2853][M+2]+
peakpos45,806.567520391889,6.5285335,[2254][M]+
peakpos46,900.800144841865,15.427612,[3029][M]+
peakpos47,784.5830732470689,7.069723700000001,[2066][M]+
peakpos48,899.7884216341181,15.471222000000001,[3016][M+1]+
peakpos49,820.738169433821,15.375267000000001,
peakpos50,915.8110007510311,15.646728,[3133][M]+
peakpos51,760.574562318839,6.8167125,[1859][M+2]+
peakpos52,369.35091895042603,15.680616,[275][M]+
peakpos53,701.629328387194,14.904151,[1422][M+1]+
peakpos54,904.830909400619,16.0643143333333,
peakpos55,874.775477912112,15.436333,[2822][M+2]+
peakpos56,721.505436088132,10.4462765,[1559][M]+
peakpos57,513.536840538643,7.00782086666667,[626][M]+
peakpos58,878.817168277076,16.038318,[2866][M]+
peakpos59,513.498492124011,7.0348196,
peakpos60,903.818103484297,15.6457195,[3043][M+1]+
peakpos61,531.54674608487,7.00782086666667,[687][M]+
peakpos62,761.587754641219,7.5495617,[1873][M+1]+
peakpos63,703.574349242527,6.3019765,[1442][M]+
peakpos64,870.822697304719,15.5846585,[2809][M]+
peakpos65,917.827224859776,15.857524666666698,[3146][M]+
peakpos66,811.601719762776,7.7414905,[2285][M+1]+
peakpos67,729.6601918085021,14.904154,[1626][M+1]+
peakpos68,917.756876774765,15.8208885,
peakpos69,667.620258070635,15.392707500000002,[1230][M+1]+
peakpos70,370.354212379206,15.3839835,[276][M+1]+
peakpos71,901.803401372231,15.436334,[3029][M+1]+
peakpos72,739.6486441429089,6.50263315,[1681][M+1]+
peakpos73,709.5132907285159,10.4461148333333,[1466][M+1]+
peakpos74,783.587626758107,6.82061046666667,
peakpos75,822.7544568557221,15.602098000000002,[2399][M]+
peakpos76,879.738806660811,15.6544455,[2879][M]+
peakpos77,916.814005008242,15.6457215,[3133][M+1]+
peakpos78,926.815810218051,15.471233499999999,[3204][M]+
peakpos79,905.835010288722,16.017400333333303,
peakpos80,807.570591534045,6.52877683333333,[2254][M+1]+
peakpos81,877.724896586004,15.427617999999999,[2857][M]+
peakpos82,828.7910716160679,15.593340833333302,
peakpos83,879.819582971949,16.038313,[2866][M+1]+
peakpos84,1316.20531653122,15.392707500000002,[4006][M+1]+
peakpos85,913.7963551510691,15.436334,[3115][M]+
peakpos86,821.739750314968,15.35128,[2389][M]+
peakpos87,785.587106681371,7.069722099999999,[2066][M+1]+
peakpos88,683.600140504,14.9041535,[1323][M]+
peakpos89,868.8226767952209,16.125555,[2781][M+2]+
peakpos90,1315.20360136498,15.392707500000002,[4006][M]+
peakpos91,870.7525324776201,15.200776999999999,[2808][M]+
peakpos92,873.8245101619369,15.380826333333301,
peakpos93,852.789922181837,15.828926999999998,[2665][M]+
peakpos94,487.352271578372,3.0565363999999997,[560][M]+
peakpos95,868.7794223405709,16.142998000000002,
peakpos96,663.452611876641,10.4462765,[1208][M]+
peakpos97,877.7951214961571,15.784220166666698,
peakpos98,905.75462743513,15.6806185,[3063][M]+
peakpos99,690.617128349036,15.200779500000001,[1368][M]+
peakpos100,871.826003573997,15.584658,[2809][M+1]+
peakpos101,918.82956634175,15.855105499999999,[3146][M+1]+
peakpos102,834.753087737737,15.584659,[2510][M]+
peakpos103,741.6533445347791,14.904154,[1714][M]+
peakpos104,675.543160771912,5.62148345,[1274][M]+
peakpos105,895.850332435332,16.125501666666697,[2997][M]+
peakpos106,788.605810300473,7.793839500000001,[2087][M+2]+
peakpos107,924.800402495493,15.593375,[3191][M]+
peakpos108,848.753283931671,15.405769833333302,[2611][M+2]+
peakpos109,722.508404775203,10.4461138333333,[1559][M+1]+
peakpos110,784.574898718585,6.7730834,[2052][M+2]+
peakpos111,552.5341504359491,8.0904666,[765][M]+
peakpos112,931.850811599075,15.9435275,
peakpos113,750.5576246364529,10.446030499999999,[1779][M]+
peakpos114,928.831531721349,15.689281666666698,[3217][M]+
peakpos115,589.599601306359,7.00779075,[884][M]+
peakpos116,705.5813456072619,14.912815666666699,[1454][M]+
peakpos117,927.8200612095641,15.471235,[3204][M+1]+
peakpos118,851.707427786066,15.401438,[2653][M]+
peakpos119,880.742182694473,15.6544495,[2879][M+1]+
peakpos120,823.757482133215,15.602098499999999,[2399][M+1]+
peakpos121,704.5775900104201,6.3019765,[1442][M+1]+
peakpos122,859.8342311460091,15.5846585,[2709][M+2]+
peakpos123,878.727835960047,15.427614000000002,[2857][M+1]+
peakpos124,534.523847226323,8.0904666,[695][M]+
peakpos125,896.76873172009,15.232842666666699,[3001][M]+
peakpos126,812.6144996489701,8.1166358,[2304][M]+
peakpos127,879.8091024484689,15.855103,[2853][M+3]+
peakpos128,907.8424218601649,16.125557,[3077][M]+
peakpos129,755.617723935456,7.043544,[1814][M+2]+
peakpos130,914.799732397111,15.436342000000002,[3115][M+1]+
peakpos131,941.825909869391,15.6901451666667,[3291][M]+
peakpos132,922.7838770514501,15.401439499999999,[3179][M]+
peakpos133,889.795183799861,15.628276500000002,[2949][M]+
peakpos134,479.370019771755,5.77849438333333,[535][M]+
peakpos135,871.755713322042,15.200776999999999,[2808][M+1]+
peakpos136,850.771196497009,15.538843666666699,
peakpos137,514.54010631108,7.00782086666667,[626][M+1]+
peakpos138,881.756090691289,15.855107,[2896][M]+
peakpos139,832.807172690934,15.593340833333302,[2470][M+3]+
peakpos140,925.802462242373,15.593375,[3191][M+1]+
peakpos141,532.550686933572,7.00782086666667,[687][M+1]+
peakpos142,906.759307946569,15.680617499999999,[3063][M+1]+
peakpos143,772.6208981357009,9.3729275,[1976][M]+
peakpos144,926.8152117335151,15.7940255,[3203][M]+
peakpos145,904.8221206039549,15.645723,[3043][M+2]+
peakpos146,816.620975035522,6.825429,[2348][M]+
peakpos147,922.8436522819901,15.471229000000001,
peakpos148,862.7850142230541,15.741685,[2747][M]+
peakpos149,553.528641771516,6.9999258,[770][M]+
peakpos150,939.810330119015,15.471236,[3279][M]+
peakpos151,834.599633066053,7.4274130000000005,[2506][M]+
peakpos152,370.35436459139504,15.680616,[275][M+1]+
peakpos153,929.833942396181,15.68934,[3217][M+1]+
peakpos154,844.652102620761,7.79817548333333,[2595][M]+
peakpos155,1084.0674796681599,6.999933199999999,[3776][M]+
peakpos156,782.5676198979829,6.3456023,[2054][M]+
peakpos157,1317.20802592194,15.392707500000002,[4006][M+2]+
peakpos158,695.572127238359,15.200781,[1393][M]+
peakpos159,376.39497026719397,15.671892000000001,[297][M]+
peakpos160,835.7557479447099,15.5846585,[2510][M+1]+
peakpos161,906.838001608308,15.849992499999999,
peakpos162,574.5166131792611,8.09046725,[837][M]+
peakpos163,943.843419786745,15.881275500000001,[3298][M]+
peakpos164,780.54936772974,6.816724000000001,[2036][M]2+
peakpos165,610.58758818253,8.09046625,[980][M]+
peakpos166,691.620980136662,15.200779500000001,[1368][M+1]+
peakpos167,684.603121412663,14.904152999999999,[1323][M+1]+
peakpos168,840.620742558452,6.76436795,[2564][M]+
peakpos169,891.8107679469839,15.832459166666698,[2962][M]+
peakpos170,529.398590815408,2.996411,[678][M]+
peakpos171,742.6559098188319,14.9041535,[1714][M+1]+
peakpos172,920.769387820739,15.209504,[3169][M]+
peakpos173,825.6920831186051,15.3691625,[2440][M]+
peakpos174,664.456630608976,10.446030499999999,[1208][M+1]+
peakpos175,711.5655763491279,7.22675565,[1492][M]+
peakpos176,762.5905041029221,7.5495579,[1873][M+2]+
peakpos177,853.723794186396,15.650936999999999,[2674][M]+
peakpos178,436.34147975031,4.8450220999999996,[402][M]+
peakpos179,808.5838827605401,6.96938495,[2268][M]+
peakpos180,942.830183461375,15.689281666666698,[3291][M+1]+
peakpos181,897.7724524280079,15.235673,[3001][M+1]+
peakpos182,788.615770995114,8.692442699999999,[2102][M]+
peakpos183,824.7700616954879,15.811484,[2426][M]+
peakpos184,812.605774972452,7.7414883,[2285][M+2]+
peakpos185,852.711405788334,15.401435000000001,[2653][M+1]+
peakpos186,923.788391998168,15.401439499999999,[3179][M+1]+
peakpos187,1222.84803847863,8.70989245,[3931][M]+
peakpos188,887.778639294355,15.4014455,[2937][M]+
peakpos189,775.5933311160201,7.0435438999999995,[1997][M]+
peakpos190,524.3711434178119,3.5188957000000003,
peakpos191,860.768748309301,15.532243666666698,[2735][M]+
peakpos192,808.5808889511619,7.802560499999999,[2267][M]2+
peakpos193,751.5607538497329,10.4461138333333,[1779][M+1]+
peakpos194,888.801154317362,15.759136499999999,[2941][M]+
peakpos195,676.545847657054,5.62148345,[1274][M+1]+
peakpos196,902.807287395799,15.436338000000001,[3029][M+2]+
peakpos197,924.800226740936,15.253126500000002,[3192][M]+
peakpos198,811.664759146525,7.04353835,[2296][M]+
peakpos199,890.799096775276,15.628272500000001,[2949][M+1]+
peakpos200,927.819598588922,15.7940255,[3203][M+1]+
peakpos201,890.816063310899,15.982410666666699,
peakpos202,570.546898470822,15.593340833333302,[822][M]+
peakpos203,907.771313934809,15.883947666666698,[3076][M]+
peakpos204,904.814564496217,15.797700666666698,
peakpos205,752.606484122186,7.04788423333333,
peakpos206,386.325658417733,3.9725837999999998,[314][M]+
peakpos207,880.822433345617,16.0470395,
peakpos208,1085.0711388980499,6.999933199999999,[3776][M+1]+
peakpos209,844.7365303129519,15.165822666666699,[2597][M]+
peakpos210,882.759522102141,15.855108999999999,[2896][M+1]+
peakpos211,671.571951092081,15.383989499999998,[1257][M]+
peakpos212,702.6340117432879,14.904154,[1422][M+2]+
peakpos213,917.8178818727802,15.6457215,[3133][M+2]+
peakpos214,901.7326730822009,15.2831916666667,[3032][M]+
peakpos215,901.724334672008,15.340364000000001,
peakpos216,808.5626380824809,6.70285153333333,
peakpos217,813.617807689622,8.1166358,[2304][M+1]+
peakpos218,706.584622831293,14.908489333333302,[1454][M+1]+
peakpos219,875.708788964708,15.200779500000001,[2844][M]+
peakpos220,760.6268276781971,6.50264,[1875][M]2+
peakpos221,794.722126949379,15.351145333333301,[2154][M]+
peakpos222,369.350937470823,5.6127595999999995,[277][M]+
peakpos223,875.778468976123,15.4450605,[2822][M+3]+
peakpos224,758.5695884410901,7.3139902,
peakpos225,863.787930583851,15.741677,[2747][M+1]+
